12-18-2021 23:31:35 INFO: ================================================================================
12-18-2021 23:31:35 WARNING: Player 1 action in step 66 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 67 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 68 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 69 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 70 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 71 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 72 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 73 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 74 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 75 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 76 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 77 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 78 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 79 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 80 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 81 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 82 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 83 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 84 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 85 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 86 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 87 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 88 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 89 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 90 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 91 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 92 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 93 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 94 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 95 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 96 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 97 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 98 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 99 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 100 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 101 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 102 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 103 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 104 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 105 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 106 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 107 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 108 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 109 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 110 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 111 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 112 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 113 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 114 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 115 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 116 ignored! 'right' tile is not accessible (1, 6).
12-18-2021 23:31:35 WARNING: Player 2 action in step 117 ignored! 'right' tile is not accessible (9, 15).
12-18-2021 23:31:35 WARNING: Player 1 action in step 118 ignored! 'right' tile is not accessible (1, 6).
